Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2022-02-12,40,,1450.0014247894287,,,0.3372748253823779,1.0024001598358154,0.2510583996772766,2575,,,,,,
2022-02-13,118,,4290.543551325798,,,0.3530048735733897,1.8563275337219238,0.2510583996772766,7517,,,,,,
2022-02-14,94,,3402.027051448822,,,0.3214132838406361,1.608261227607727,0.2510583996772766,5916,,,,,,
2022-02-15,123,,3982.0429624319077,,,0.3415727881321409,1.6895692348480225,0.2615191638469696,6641,,,,,,
2022-02-16,55,,1738.3259499073029,1.0,1,0.3934009588655153,1.4320908784866333,0.2510583996772766,3013,,,,,,
2022-02-17,24,,890.977915763855,,,0.3323233929487301,1.0456452369689941,0.2510583996772766,1654,,,,,,
2022-02-18,13,,656.2599960932719,,,0.28561276661586543,0.6804044842720032,0.2510583996772766,1301,,,,,,
2022-02-19,187,,7605.321043573857,12.0,12,0.40187772948884176,1.5411912202835083,0.2510583996772766,12132,,,,,,
2022-02-20,88,,3323.0657885074615,4.0,4,0.420730478342451,1.4374914169311523,0.2510583996772766,5485,,,,,,
2022-02-21,33,,1236.2930178642273,,,0.32507132911547737,0.9604697823524475,0.2719799280166626,2347,,,,,,
2022-02-22,11,,481.25729751586914,,,0.326876939705358,0.8044207692146301,0.2719799280166626,878,,,,,,
2022-02-23,56,,1972.3302775025368,,,0.31974656051644157,1.5784873962402344,0.2510583996772766,3518,,,,,,
2022-02-24,26,,982.3889070749283,,,0.33069478206097924,0.49783429503440857,0.2615191638469696,1735,,,,,,
2022-02-25,33,,1297.9719948768616,,,0.3017505628927742,0.6586582064628601,0.2510583996772766,2443,,,,,,
2022-02-26,196,,7039.69977080822,1.0,1,0.38741884820749134,1.3305047750473022,0.2510583996772766,11913,,,,,,
2022-02-27,126,,4529.054451107979,2.0,2,0.35710798157433593,1.5154426097869873,0.2510583996772766,7668,,,,,,
2022-02-28,48,,2037.1637759804726,11.0,11,0.36225367235695044,1.8718308210372925,0.2510583996772766,3544,,,,,,
2022-03-01,124,,5390.402303993702,17.0,17,0.41333707143345916,1.4989732503890991,0.2510583996772766,8752,,,,,,
2022-03-02,183,,8649.817390203476,38.0,38,0.4672455851703774,1.6711660623550415,0.24800556898117065,13368,,,,,,
2022-03-03,148,,6977.790088891983,33.0,33,0.4947090746871419,1.3949207067489624,0.24586869776248932,10838,,,,,,
2022-03-04,166,,7459.823198080063,30.0,30,0.3679534302391598,1.6683279275894165,0.24808236956596375,11876,,,,,,
